// name			res sprite	left	top	width	hieght

200
armor_base		640 640hud01_2	175	100	40	60
armor_chest		640 640hud01_2	215	100	40	60
armor_helmet		640 640hud06	175	160	40	60
armor_rtarm		640 640hud01_2	215	160	40	60
armor_ltarm		640 640hud01_2	175	160	40	60
armor_rtleg		640 640hud06	215	100	40	60
armor_ltleg		640 640hud06	175	100	40	60

flash_full		640 640hud06	179	228	32	32
flash_empty		640 640hud06	131	228	32	32
flash_beam		640 640hud06 	163	228	16	32

train_back		640	640hud5 170	0	72	72
train_stop		640	640hud5 170	72	72	72
train_forward1		640	640hud5 170	144	72	72
train_forward2		640	640hud6 170	0	72	72
train_forward3		640	640hud6 170	72	72	72

autoaim_c		640 	crosshairs	0	0	24	24

title_half		640 640hud4	0	226	256	30
title_life		640 640hud5	0	226	220	30

d_knife			640	deaths	0	0	54	16
d_coltgov		640	deaths	0	16	31	16
d_anaconda		640	deaths	31	16	31	16
d_ber93r		640	deaths	0	32	28	16
d_desert		640	deaths	32	32	33	16
d_ber92f		640	deaths	0	48	46	16
d_benelli		640	deaths	0	64	58	16
d_saiga			640	deaths	0	80	58	16
d_mp5k			640	deaths	0	96	31	16
d_mp5a5			640	deaths	0	112	36	16
d_mc51			640	deaths	0	128	54	16
d_m11			640	deaths	0	144	54	16
d_bizon			640	deaths	0	160	51	16
d_ak47			640	deaths	0	176	60	16
d_famas			640	deaths	0	192	49	16
d_g3a3			640	deaths	0	208	55	16
d_g36e			640	deaths	0	224	52	16
d_m16			640	deaths	0	240	55	16
d_m4			640	deaths	60	0	52	16
d_aug			640	deaths	60	16	50	16
d_psg1			640	deaths	60	32	62	16
d_m82			640	deaths	60	48	62	16
d_launcher		640	deaths	60	64	47	16
d_m60			640	deaths	60	80	58	16
d_stg24			640	deaths	60	96	53	16
d_claymore		640	deaths	93	112	24	16
d_bleed			640	deaths	60	128	62	16
d_m203			640	deaths	60	144	18	16
d_chute			640	deaths	60	160	62	16
d_skull			640	deaths	60	176	32	16
d_tracktrain		640	deaths	60	192	34	16
d_sterling		640	deaths	60	208	47	16
d_flashbang		640	deaths	60	224	33	16
d_frag			640	deaths	60	240	27	16

item_battery		640 640hud06	212	0	44	44
item_bandage		640 640hud01_2	184	36	32	32
item_longjump		640 640hud06	212	44	44	44

grenade			640 640hud01_2     176      72      24      24

parachute		640 640hud01	192	64	64	64
brokenleg		640 640hud01	192	128	64	64
gotitem			640 640hud01	192	192	64	64
rein			640 rein	0	0	32	64

ranks			640 ranks	0	240	112	16
fatigue			640 fatigue	0	0	32	64
